Clave de incidencia;ID de la incidencia;Estado;Creada;Actualizada
ESTCORE-233;13177;Producción;21/jul/20 11:46 AM;30/jul/20 9:16 AM
ESTCORE-183;12769;Certificacion UAT;13/jul/20 12:32 PM;30/jul/20 8:51 AM
ESTCORE-205;13022;Analisis;15/jul/20 11:00 AM;30/jul/20 8:38 AM
ESTCORE-143;12196;En progreso;03/jul/20 4:02 PM;30/jul/20 8:17 AM
ESTCORE-236;13232;Bloqueado;22/jul/20 11:59 AM;30/jul/20 8:03 AM
ESTCORE-258;13640;En progreso;28/jul/20 8:18 AM;29/jul/20 9:06 PM
ESTCORE-231;13128;Analisis;17/jul/20 4:06 PM;29/jul/20 7:06 PM
ESTCORE-129;11879;Bloqueado;30/jun/20 6:07 PM;29/jul/20 5:08 PM
ESTCORE-157;12424;Analisis;08/jul/20 6:31 PM;29/jul/20 4:52 PM
ESTCORE-254;13439;Selected For Development;27/jul/20 7:11 AM;29/jul/20 4:49 PM
ESTCORE-256;13487;Selected For Development;27/jul/20 3:11 PM;29/jul/20 4:49 PM
ESTCORE-180;12762;Selected For Development;13/jul/20 11:28 AM;29/jul/20 4:00 PM
ESTCORE-174;12680;Comite PAP;10/jul/20 6:06 PM;29/jul/20 3:48 PM
ESTCORE-34;11006;Producción;19/jun/20 11:11 AM;29/jul/20 3:43 PM
ESTCORE-195;12983;Comite PAP;14/jul/20 8:04 PM;29/jul/20 9:01 AM
ESTCORE-58;11384;Analisis;23/jun/20 2:28 PM;29/jul/20 8:46 AM
ESTCORE-85;11594;Comite PAP;25/jun/20 2:02 PM;29/jul/20 8:39 AM
ESTCORE-257;13494;Selected For Development;27/jul/20 3:50 PM;28/jul/20 2:20 PM
ESTCORE-131;11881;Selected For Development;30/jun/20 6:15 PM;28/jul/20 9:06 AM
ESTCORE-203;13015;Bloqueado;15/jul/20 8:40 AM;27/jul/20 12:40 PM
ESTCORE-194;12981;Producción;14/jul/20 5:28 PM;23/jul/20 2:37 PM
